registry_state,registry_district,census_state,census_district,notes
Jammu and Kashmir,Shopian,Jammu and Kashmir,Shupiyan,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Karnataka,Belagavi,Karnataka,Belgaum,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Karnataka,Chikkamagaluru,Karnataka,Chikmagalur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Karnataka,Shivamogga,Karnataka,Shimoga,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Karnataka,Vijayapura,Karnataka,Bijapur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Karnataka,Mysuru,Karnataka,Mysore,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Karnataka,Kalaburagi,Karnataka,Gulbarga,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Madhya Pradesh,Khandwa,Madhya Pradesh,Khandwa (East Nimar),Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Madhya Pradesh,Khargone,Madhya Pradesh,Khargone (West Nimar),Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Madhya Pradesh,Narsinghpur,Madhya Pradesh,Narsimhapur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Maharashtra,Mumbai City,Maharashtra,Mumbai,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Maharashtra,Raigad,Maharashtra,Raigarh,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Maharashtra,Buldhana,Maharashtra,Buldana,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Maharashtra,Gondia,Maharashtra,Gondiya,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Maharashtra,Beed,Maharashtra,Bid,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Meghalaya,Ri Bhoi,Meghalaya,Ribhoi,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Meghalaya,Ri-Bhoi,Meghalaya,Ribhoi,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Balasore,Odisha,Baleshwar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Deogarh,Odisha,Debagarh,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Jajpur,Odisha,Jajapur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Keonjhar,Odisha,Kendujhar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Nabarangpur,Odisha,Nabarangapur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Angul,Odisha,Anugul,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Bolangir,Odisha,Balangir,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Boudh,Odisha,Baudh,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Bauda,Odisha,Baudh,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Odisha,Jagatsinghpur,Odisha,Jagatsinghapur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Punjab,Ferozepur,Punjab,Firozpur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Punjab,SAS Nagar,Punjab,Sahibzada Ajit Singh Nagar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Punjab,SBS Nagar,Punjab,Shahid Bhagat Singh Nagar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Punjab,Sri Muktsar Sahib,Punjab,Muktsar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Rajasthan,Jalore,Rajasthan,Jalor,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Rajasthan,Chittorgarh,Rajasthan,Chittaurgarh,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Rajasthan,Dholpur,Rajasthan,Dhaulpur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Tamil Nadu,Nilgiris,Tamil Nadu,The Nilgiris,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Tamil Nadu,Kanyakumari,Tamil Nadu,Kanniyakumari,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Tamil Nadu,Sivagangai,Tamil Nadu,Sivaganga,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Tamil Nadu,Thoothukudi,Tamil Nadu,Thoothukkudi,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Tamil Nadu,Tiruvallur,Tamil Nadu,Thiruvallur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Tamil Nadu,Tiruvarur,Tamil Nadu,Thiruvarur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttar Pradesh,Barabanki,Uttar Pradesh,Bara Banki,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttar Pradesh,Lakhimpur Kheri,Uttar Pradesh,Kheri,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttar Pradesh,Maharajganj,Uttar Pradesh,Mahrajganj,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttar Pradesh,Badaun,Uttar Pradesh,Budaun,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttar Pradesh,Shravasti,Uttar Pradesh,Shrawasti,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttar Pradesh,Siddharth Nagar,Uttar Pradesh,Siddharthnagar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttarakhand,Haridwar,Uttarakhand,Hardwar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
Uttarakhand,Pauri Garhwal,Uttarakhand,Garhwal,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,Malda,West Bengal,Maldah,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,Cooch Behar,West Bengal,Koch Bihar,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,East Medinipur,West Bengal,Purba Medinipur,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,Hooghly,West Bengal,Hugli,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,Howrah,West Bengal,Haora,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,North 24 Parganas,West Bengal,North Twenty Four Parganas,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,Purulia,West Bengal,Puruliya,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
West Bengal,South 24 Parganas,West Bengal,South Twenty Four Parganas,Explicit name-only crosswalk to official Census 2011 label; source: data/raw/census_2011_district_urban_rural.xlsx; https://censusindia.gov.in/nada/index.php/catalog/42557 ; does not assert event-year boundary equality
