event_id,source_record_id,state,district,start_date,end_date,candidate_count,body_available_count,primary_body_available_count,weak_body_available_count,no_body_count,heuristic_pass_count,weak_heuristic_pass_count,heuristic_no_count,weak_heuristic_no_count,unique_llm_request_count,llm_pending_count,llm_yes_count,llm_no_count,llm_ambiguous_no_count,llm_error_count,final_article_count,count_source
E036,2016-0271-IND,Uttar Pradesh,Uttar Pradesh,2016-07-15,2016-09-12,12511,2543,2457,86,9968,2244,13,213,73,2086,2086,0,0,0,0,2244,heuristic
E037,2016-0554-IND,Assam,Golaghat,2016-07-17,2016-07-19,5005,1267,1213,54,3738,1126,6,87,48,1064,1064,0,0,0,0,1126,heuristic
E038,2016-0267-IND,Assam,Barpeta,2016-07-28,2016-07-30,4004,990,943,47,3014,870,6,73,41,826,826,0,0,0,0,870,heuristic
E039,2016-0304-IND,Gujarat,Navsari,2016-08-01,2016-08-03,2885,709,642,67,2176,458,0,184,67,434,434,0,0,0,0,458,heuristic
E040,2016-0304-IND,Maharashtra,Kolhapur,2016-08-01,2016-08-03,10102,2050,1973,77,8052,1673,32,300,45,1542,1542,0,0,0,0,1673,heuristic
E041,2016-0391-IND,Andhra Pradesh,Andhra Pradesh,2016-09-21,2016-09-29,3435,1190,1171,19,2245,1013,4,158,15,951,951,0,0,0,0,1013,heuristic
E042,2016-0391-IND,Telangana,Telangana,2016-09-21,2016-09-29,1291,378,375,3,913,349,0,26,3,329,329,0,0,0,0,349,heuristic
E044,2017-0294-IND,Gujarat,Gujarat,2017-06-01,2017-08-31,3840,2037,1691,346,1803,1457,5,234,341,1310,1310,0,0,0,0,1457,heuristic
E045,2017-0294-IND,Rajasthan,Rajasthan,2017-06-01,2017-08-31,2211,917,883,34,1294,780,12,103,22,754,754,0,0,0,0,780,heuristic
E046,2017-0294-IND,West Bengal,West Bengal,2017-06-01,2017-08-31,3793,1495,1451,44,2298,1349,18,102,26,1282,1282,0,0,0,0,1349,heuristic
E047,2017-0180-IND,Assam,Assam,2017-06-04,2017-06-06,4746,1952,1896,56,2794,1823,24,73,32,1770,1770,0,0,0,0,1823,heuristic
E048,2017-0180-IND,Jharkhand,Jharkhand,2017-06-04,2017-06-06,644,252,235,17,392,215,5,20,12,206,206,0,0,0,0,215,heuristic
E049,2017-0180-IND,Manipur,Manipur,2017-06-04,2017-06-06,1326,510,491,19,816,468,14,23,5,453,453,0,0,0,0,468,heuristic
E050,2017-0180-IND,Nagaland,Nagaland,2017-06-04,2017-06-06,708,297,292,5,411,272,1,20,4,263,263,0,0,0,0,272,heuristic
E051,2017-0289-IND,Assam,Barpeta,2017-06-25,2017-07-24,4702,1917,1857,60,2785,1792,25,65,35,1713,1713,0,0,0,0,1792,heuristic
E052,2017-0290-IND,Manipur,Bishnupur,2017-07-01,2017-07-31,1263,483,477,6,780,455,0,22,6,442,442,0,0,0,0,455,heuristic
E053,2017-0342-IND,Bihar,Araria,2017-08-11,2017-08-31,8111,3461,3329,132,4650,2958,54,371,78,2810,2810,0,0,0,0,2958,heuristic
E054,2017-0342-IND,Uttar Pradesh,Uttar Pradesh,2017-08-11,2017-08-31,6386,2652,2502,150,3734,2151,70,351,80,2080,2080,0,0,0,0,2151,heuristic
E055,2017-0342-IND,West Bengal,West Bengal,2017-08-11,2017-08-31,2674,1061,1027,34,1613,946,9,81,25,889,889,0,0,0,0,946,heuristic
E056,2017-0517-IND,Uttar Pradesh,Bahraich,2017-08-16,2017-08-23,5939,2456,2309,147,3483,1986,69,323,78,1924,1924,0,0,0,0,1986,heuristic
E057,2017-0364-IND,Maharashtra,Mumbai City,2017-08-29,2017-08-29,6319,2765,2670,95,3554,2273,45,397,50,2094,2094,0,0,0,0,2273,heuristic
E058,2017-0495-IND,Tamil Nadu,Chennai,2017-10-30,2017-11-08,3407,1802,1774,28,1605,1372,4,402,24,1322,1322,0,0,0,0,1372,heuristic
E059,2018-0213-IND,Tripura,Tripura,2018-05-17,2018-05-20,990,405,394,11,585,375,5,19,6,360,360,0,0,0,0,375,heuristic
E060,2018-0216-IND,Karnataka,Dakshina Kannada,2018-05-29,2018-05-31,7951,3918,3666,252,4033,3301,42,365,210,3162,3162,0,0,0,0,3301,heuristic
E061,2018-0205-IND,Assam,Assam,2018-06-22,2018-07-03,1628,768,756,12,860,695,4,61,8,680,680,0,0,0,0,695,heuristic
E064,2018-0286-IND,Odisha,Odisha,2018-07-20,2018-07-23,2969,1461,1420,41,1508,1257,10,163,31,1197,1197,0,0,0,0,1257,heuristic
E065,2018-0267-IND,Rajasthan,Rajasthan,2018-07-26,2018-07-28,2661,783,764,19,1878,594,6,170,13,551,551,0,0,0,0,594,heuristic
E066,2018-0267-IND,Uttar Pradesh,Uttar Pradesh,2018-07-26,2018-07-28,4896,2280,2223,57,2616,1959,16,264,41,1874,1874,0,0,0,0,1959,heuristic
E067,2018-0345-IND,Assam,Golaghat,2018-08-02,2018-08-06,1291,594,584,10,697,540,5,44,5,528,528,0,0,0,0,540,heuristic
E068,2018-0345-IND,West Bengal,West Bengal,2018-08-02,2018-08-06,1873,1052,1036,16,821,690,6,346,10,638,638,0,0,0,0,690,heuristic
E069,2018-0295-IND,Assam,Assam,2018-08-07,2018-08-20,1155,543,535,8,612,492,3,43,5,480,480,0,0,0,0,492,heuristic
E070,2018-0295-IND,Himachal Pradesh,Himachal Pradesh,2018-08-07,2018-08-20,1186,661,640,21,525,590,5,50,16,561,561,0,0,0,0,590,heuristic
E071,2018-0295-IND,Kerala,Thrissur,2018-08-07,2018-08-20,34867,15886,15326,560,18981,13885,144,1441,416,13132,13132,0,0,0,0,13885,heuristic
E072,2018-0295-IND,Maharashtra,Maharashtra,2018-08-07,2018-08-20,6292,3280,3194,86,3012,2596,39,598,47,2329,2329,0,0,0,0,2596,heuristic
E073,2018-0295-IND,Nagaland,Nagaland,2018-08-07,2018-08-20,899,357,341,16,542,325,3,16,13,309,309,0,0,0,0,325,heuristic
E074,2018-0295-IND,Odisha,Odisha,2018-08-07,2018-08-20,2766,1407,1365,42,1359,1209,10,156,32,1146,1146,0,0,0,0,1209,heuristic
E075,2018-0295-IND,Uttar Pradesh,Uttar Pradesh,2018-08-07,2018-08-20,3889,1870,1820,50,2019,1583,14,237,36,1486,1486,0,0,0,0,1583,heuristic
E076,2018-0295-IND,West Bengal,West Bengal,2018-08-07,2018-08-20,1841,1035,1021,14,806,674,4,347,10,624,624,0,0,0,0,674,heuristic
E077,2018-0370-IND,Uttar Pradesh,Uttar Pradesh,2018-09-01,2018-10-06,2083,1037,1015,22,1046,924,6,91,16,858,858,0,0,0,0,924,heuristic
E078,2018-0372-IND,Haryana,Haryana,2018-09-23,2018-09-24,514,278,269,9,236,245,3,24,6,235,235,0,0,0,0,245,heuristic
E079,2018-0372-IND,Punjab,Punjab,2018-09-23,2018-09-24,370,190,185,5,180,176,1,9,4,171,171,0,0,0,0,176,heuristic
E080,2019-0288-IND,Maharashtra,Mumbai City,2019-06-28,2019-07-04,14771,8258,8000,258,6513,7035,114,965,144,6741,6741,0,0,0,0,7035,heuristic
E081,2019-0331-IND,Assam,Assam,2019-07-14,2019-09-30,3122,1657,1585,72,1465,1468,17,117,55,1384,1384,0,0,0,0,1468,heuristic
E082,2019-0331-IND,Bihar,Katihar,2019-07-14,2019-09-30,7491,3645,3534,111,3846,3379,25,155,86,3212,3212,0,0,0,0,3379,heuristic
E084,2019-0331-IND,Karnataka,Karnataka,2019-07-14,2019-09-30,10513,6054,5601,453,4459,5331,34,270,419,5106,5106,0,0,0,0,5331,heuristic
E085,2019-0331-IND,Kerala,Kerala,2019-07-14,2019-09-30,7747,4248,4120,128,3499,3903,23,217,105,3741,3741,0,0,0,0,3903,heuristic
E086,2019-0331-IND,Maharashtra,Maharashtra,2019-07-14,2019-09-30,13591,7798,7570,228,5793,6576,104,994,124,6335,6335,0,0,0,0,6576,heuristic
E087,2019-0331-IND,Odisha,Odisha,2019-07-14,2019-09-30,2649,1389,1334,55,1260,1253,13,81,42,1204,1204,0,0,0,0,1253,heuristic
E088,2019-0331-IND,Punjab,Punjab,2019-07-14,2019-09-30,1276,645,638,7,631,625,5,13,2,608,608,0,0,0,0,625,heuristic
E089,2019-0331-IND,Rajasthan,Rajasthan,2019-07-14,2019-09-30,2619,1645,1600,45,974,1392,19,208,26,1357,1357,0,0,0,0,1392,heuristic
E090,2019-0331-IND,Uttar Pradesh,Uttar Pradesh,2019-07-14,2019-09-30,5023,2673,2615,58,2350,2445,19,170,39,2341,2341,0,0,0,0,2445,heuristic
E091,2019-0331-IND,Uttarakhand,Uttarakhand,2019-07-14,2019-09-30,2177,1170,1141,29,1007,1080,12,61,17,1040,1040,0,0,0,0,1080,heuristic
E092,2019-0331-IND,West Bengal,West Bengal,2019-07-14,2019-09-30,2187,1071,1039,32,1116,959,11,80,21,902,902,0,0,0,0,959,heuristic
E093,2019-0383-IND,Kerala,Kerala,2019-08-12,2019-08-15,4821,2800,2737,63,2021,2619,19,118,44,2508,2508,0,0,0,0,2619,heuristic
E094,2019-0383-IND,Maharashtra,Maharashtra,2019-08-12,2019-08-15,8171,4796,4641,155,3375,4135,68,506,87,3971,3971,0,0,0,0,4135,heuristic
E095,2019-0383-IND,Odisha,Odisha,2019-08-12,2019-08-15,1660,904,884,20,756,853,6,31,14,823,823,0,0,0,0,853,heuristic
E096,2019-0383-IND,West Bengal,West Bengal,2019-08-12,2019-08-15,1934,900,860,40,1034,798,13,62,27,732,732,0,0,0,0,798,heuristic
E097,2019-0499-IND,Karnataka,Gadag,2019-10-19,2019-10-23,2457,1567,1447,120,890,1389,5,58,115,1349,1349,0,0,0,0,1389,heuristic
E098,2019-0499-IND,Kerala,Kerala,2019-10-19,2019-10-23,1259,841,822,19,418,777,3,45,16,762,762,0,0,0,0,777,heuristic
E099,2019-0499-IND,Tamil Nadu,Tamil Nadu,2019-10-19,2019-10-23,1697,1167,1147,20,530,1021,3,126,17,940,940,0,0,0,0,1021,heuristic
E100,2019-0574-IND,Puducherry,Puducherry,2019-11-29,2019-12-04,94,58,58,0,36,55,0,3,0,53,53,0,0,0,0,55,heuristic
E101,2019-0574-IND,Tamil Nadu,Nagappattinam,2019-11-29,2019-12-04,1247,858,846,12,389,730,1,116,11,658,658,0,0,0,0,730,heuristic
E103,2020-0206-IND,Assam,Goalpara,2020-05-24,2020-05-26,2945,1872,1857,15,1073,1817,10,40,5,1746,1746,0,0,0,0,1817,heuristic
E104,2020-0206-IND,Sikkim,Sikkim,2020-05-24,2020-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,heuristic
E106,2020-0304-IND,Arunachal Pradesh,Arunachal Pradesh,2020-06-01,2020-08-16,94,64,63,1,30,62,1,1,0,59,59,0,0,0,0,62,heuristic
E107,2020-0304-IND,Assam,Assam,2020-06-01,2020-08-16,2812,1783,1768,15,1029,1731,10,37,5,1663,1663,0,0,0,0,1731,heuristic
E108,2020-0304-IND,Bihar,Bihar,2020-06-01,2020-08-16,4512,2693,2666,27,1819,2586,12,80,15,2484,2484,0,0,0,0,2586,heuristic
E109,2020-0304-IND,Chhattisgarh,Chhattisgarh,2020-06-01,2020-08-16,922,653,649,4,269,636,3,13,1,611,611,0,0,0,0,636,heuristic
E110,2020-0304-IND,Gujarat,Gujarat,2020-06-01,2020-08-16,1416,863,773,90,553,706,1,67,89,677,677,0,0,0,0,706,heuristic
E111,2020-0304-IND,Karnataka,Karnataka,2020-06-01,2020-08-16,2683,1800,1787,13,883,1717,8,70,5,1621,1621,0,0,0,0,1717,heuristic
E112,2020-0304-IND,Kerala,Kerala,2020-06-01,2020-08-16,2411,1608,1601,7,803,1546,3,55,4,1425,1425,0,0,0,0,1546,heuristic
E113,2020-0304-IND,Madhya Pradesh,Madhya Pradesh,2020-06-01,2020-08-16,1716,1121,1113,8,595,1069,5,44,3,1039,1039,0,0,0,0,1069,heuristic
E114,2020-0304-IND,Maharashtra,Maharashtra,2020-06-01,2020-08-16,5758,3390,3326,64,2368,3135,42,191,22,2818,2818,0,0,0,0,3135,heuristic
E115,2020-0304-IND,Odisha,Odisha,2020-06-01,2020-08-16,1811,1266,1256,10,545,1228,7,28,3,1197,1197,0,0,0,0,1228,heuristic
E116,2020-0304-IND,Uttar Pradesh,Uttar Pradesh,2020-06-01,2020-08-16,3096,2040,2028,12,1056,1957,5,71,7,1892,1892,0,0,0,0,1957,heuristic
E117,2020-0304-IND,West Bengal,West Bengal,2020-06-01,2020-08-16,1689,970,966,4,719,901,2,65,2,854,854,0,0,0,0,901,heuristic
E118,2020-0446-IND,Andhra Pradesh,Andhra Pradesh,2020-10-01,2020-10-26,2691,1764,1751,13,927,1674,2,77,11,1632,1632,0,0,0,0,1674,heuristic
E119,2020-0446-IND,Karnataka,Karnataka,2020-10-01,2020-10-26,1278,850,842,8,428,813,4,29,4,803,803,0,0,0,0,813,heuristic
E120,2020-0446-IND,Odisha,Gajapati,2020-10-01,2020-10-26,319,224,219,5,95,207,5,12,0,203,203,0,0,0,0,207,heuristic
E121,2020-0446-IND,Telangana,Telangana,2020-10-01,2020-10-26,1102,743,733,10,359,705,1,28,9,695,695,0,0,0,0,705,heuristic
E122,2021-0316-IND,Bihar,Bihar,2021-06-01,2021-06-30,1522,811,802,9,711,774,8,28,1,756,756,0,0,0,0,774,heuristic
E124,2021-0316-IND,Gujarat,Gujarat,2021-06-01,2021-06-30,661,416,377,39,245,342,6,35,33,335,335,0,0,0,0,342,heuristic
E125,2021-0316-IND,Karnataka,Karnataka,2021-06-01,2021-06-30,2181,1241,1235,6,940,1188,5,47,1,1140,1140,0,0,0,0,1188,heuristic
E126,2021-0316-IND,Kerala,Kerala,2021-06-01,2021-06-30,729,515,506,9,214,470,4,36,5,464,464,0,0,0,0,470,heuristic
E127,2021-0316-IND,Maharashtra,Maharashtra,2021-06-01,2021-06-30,4170,2453,2408,45,1717,2262,33,146,12,2060,2060,0,0,0,0,2262,heuristic
E128,2021-0316-IND,Tripura,Tripura,2021-06-01,2021-06-30,174,100,100,0,74,95,0,5,0,92,92,0,0,0,0,95,heuristic
E129,2021-0316-IND,Uttar Pradesh,Uttar Pradesh,2021-06-01,2021-06-30,1741,1110,1093,17,631,1035,16,58,1,994,994,0,0,0,0,1035,heuristic
E130,2021-0316-IND,Uttarakhand,Uttarakhand,2021-06-01,2021-06-30,1113,754,748,6,359,714,5,34,1,702,702,0,0,0,0,714,heuristic
E131,2021-0316-IND,West Bengal,West Bengal,2021-06-01,2021-06-30,966,532,526,6,434,483,4,43,2,469,469,0,0,0,0,483,heuristic
E132,2021-0435-IND,Goa,Goa,2021-06-01,2021-09-30,147,79,79,0,68,75,0,4,0,74,74,0,0,0,0,75,heuristic
E133,2021-0435-IND,Himachal Pradesh,Himachal Pradesh,2021-06-01,2021-09-30,874,517,507,10,357,474,5,33,5,457,457,0,0,0,0,474,heuristic
E134,2021-0435-IND,Jharkhand,Jharkhand,2021-06-01,2021-09-30,158,95,94,1,63,92,1,2,0,91,91,0,0,0,0,92,heuristic
E135,2021-0435-IND,Karnataka,Karnataka,2021-06-01,2021-09-30,2181,1241,1235,6,940,1188,5,47,1,1140,1140,0,0,0,0,1188,heuristic
E136,2021-0435-IND,Maharashtra,Pune,2021-06-01,2021-09-30,4170,2453,2408,45,1717,2262,33,146,12,2060,2060,0,0,0,0,2262,heuristic
E137,2021-0435-IND,Uttarakhand,Uttarakhand,2021-06-01,2021-09-30,1113,754,748,6,359,714,5,34,1,702,702,0,0,0,0,714,heuristic
E138,2021-0435-IND,West Bengal,West Bengal,2021-06-01,2021-09-30,966,532,526,6,434,483,4,43,2,469,469,0,0,0,0,483,heuristic
E139,2021-0366-IND,Assam,Bongaigaon,2021-07-01,2021-07-01,397,271,269,2,126,262,1,7,1,258,258,0,0,0,0,262,heuristic
E140,2021-0458-IND,Himachal Pradesh,Himachal Pradesh,2021-07-28,2021-07-29,651,394,387,7,257,362,3,25,4,343,343,0,0,0,0,362,heuristic
E141,2021-0458-IND,Jammu and Kashmir,Jammu and Kashmir,2021-07-28,2021-07-29,731,476,466,10,255,436,2,30,8,425,425,0,0,0,0,436,heuristic
E142,2021-0585-IND,Gujarat,Devbhumi Dwarka,2021-09-13,2021-09-15,689,520,382,138,169,332,0,50,138,320,320,0,0,0,0,332,heuristic
E143,2021-0677-IND,Kerala,Pathanamthitta,2021-10-11,2021-10-20,2870,1496,1472,24,1374,1372,18,100,6,1289,1289,0,0,0,0,1372,heuristic
E144,2021-0681-IND,Uttarakhand,Nainital,2021-10-18,2021-10-19,1383,765,740,25,618,701,14,39,11,669,669,0,0,0,0,701,heuristic
E145,2021-0722-IND,Tamil Nadu,Tamil Nadu,2021-11-06,2021-11-08,2743,1689,1668,21,1054,1493,13,175,8,1445,1445,0,0,0,0,1493,heuristic
E146,2021-0748-IND,Andhra Pradesh,Y.S.R.,2021-11-18,2021-11-19,1499,779,772,7,720,732,2,40,5,705,705,0,0,0,0,732,heuristic
E148,2022-0293-IND,Assam,Dima Hasao,2022-05-17,2022-10-31,3203,1871,1858,13,1332,1824,10,34,3,1743,1743,0,0,0,0,1824,heuristic
E150,2022-0293-IND,Gujarat,Gujarat,2022-05-17,2022-10-31,1239,902,816,86,337,770,15,46,71,745,745,0,0,0,0,770,heuristic
E151,2022-0293-IND,Himachal Pradesh,Himachal Pradesh,2022-05-17,2022-10-31,496,384,380,4,112,375,2,5,2,369,369,0,0,0,0,375,heuristic
E152,2022-0293-IND,Madhya Pradesh,Madhya Pradesh,2022-05-17,2022-10-31,1151,812,799,13,339,765,5,34,8,734,734,0,0,0,0,765,heuristic
E153,2022-0293-IND,Maharashtra,Maharashtra,2022-05-17,2022-10-31,4094,2761,2721,40,1333,2529,15,192,25,2480,2480,0,0,0,0,2529,heuristic
E154,2022-0293-IND,Meghalaya,East Khasi Hills,2022-05-17,2022-10-31,198,85,84,1,113,80,1,4,0,80,80,0,0,0,0,80,heuristic
E156,2022-0539-IND,Himachal Pradesh,Himachal Pradesh,2022-08-01,2022-08-22,1081,633,625,8,448,593,3,32,5,539,539,0,0,0,0,593,heuristic
E157,2022-0539-IND,Jharkhand,Jharkhand,2022-08-01,2022-08-22,187,146,144,2,41,140,1,4,1,136,136,0,0,0,0,140,heuristic
E158,2022-0539-IND,Uttarakhand,Uttarakhand,2022-08-01,2022-08-22,1165,749,737,12,416,705,6,32,6,643,643,0,0,0,0,705,heuristic
E159,2022-0590-IND,Uttar Pradesh,Uttar Pradesh,2022-09-18,2022-09-24,1069,765,751,14,304,707,9,44,5,700,700,0,0,0,0,707,heuristic
E160,2023-0330-IND,Assam,Assam,2023-06-14,2023-06-23,1559,1052,1038,14,507,1013,11,25,3,989,989,0,0,0,0,1013,heuristic
E161,2023-0330-IND,Sikkim,Sikkim,2023-06-14,2023-06-23,2,2,2,0,0,2,0,0,0,2,2,0,0,0,0,2,heuristic
E162,2023-0428-IND,Assam,Assam,2023-06-25,2023-09-07,1076,736,726,10,340,702,8,24,2,692,692,0,0,0,0,702,heuristic
E163,2023-0428-IND,Bihar,Bihar,2023-06-25,2023-09-07,1728,1376,1363,13,352,1311,6,52,7,1283,1283,0,0,0,0,1311,heuristic
E164,2023-0428-IND,Chhattisgarh,Chhattisgarh,2023-06-25,2023-09-07,1546,1130,1118,12,416,1089,11,29,1,1062,1062,0,0,0,0,1089,heuristic
E165,2023-0428-IND,Delhi,Delhi,2023-06-25,2023-09-07,12574,8174,8005,169,4400,7665,93,340,76,6967,6967,0,0,0,0,7665,heuristic
E166,2023-0428-IND,Gujarat,Gujarat,2023-06-25,2023-09-07,2463,1790,1757,33,673,1664,12,93,21,1587,1587,0,0,0,0,1664,heuristic
E167,2023-0428-IND,Himachal Pradesh,Himachal Pradesh,2023-06-25,2023-09-07,7412,4840,4780,60,2572,4678,39,102,21,4462,4462,0,0,0,0,4678,heuristic
E168,2023-0428-IND,Karnataka,Karnataka,2023-06-25,2023-09-07,2593,1745,1680,65,848,1565,21,115,44,1511,1511,0,0,0,0,1565,heuristic
E169,2023-0428-IND,Madhya Pradesh,Madhya Pradesh,2023-06-25,2023-09-07,3633,2594,2557,37,1039,2474,20,83,17,2402,2402,0,0,0,0,2474,heuristic
E170,2023-0428-IND,Maharashtra,Maharashtra,2023-06-25,2023-09-07,6290,3868,3758,110,2422,3543,86,215,24,3273,3273,0,0,0,0,3543,heuristic
E171,2023-0428-IND,Punjab,Punjab,2023-06-25,2023-09-07,2958,2439,2423,16,519,2327,10,96,6,2293,2293,0,0,0,0,2327,heuristic
E172,2023-0428-IND,Uttarakhand,Uttarakhand,2023-06-25,2023-09-07,6009,4059,3985,74,1950,3868,43,117,31,3682,3682,0,0,0,0,3868,heuristic
E173,2023-0359-IND,Delhi,Delhi,2023-06-26,2023-07-12,12534,8154,7987,167,4380,7647,91,340,76,6950,6950,0,0,0,0,7647,heuristic
E174,2023-0359-IND,Haryana,Haryana,2023-06-26,2023-07-12,5589,4153,4099,54,1436,3995,27,104,27,3718,3718,0,0,0,0,3995,heuristic
E175,2023-0359-IND,Himachal Pradesh,Solan,2023-06-26,2023-07-12,7366,4810,4750,60,2556,4648,39,102,21,4432,4432,0,0,0,0,4648,heuristic
E176,2023-0359-IND,Punjab,Punjab,2023-06-26,2023-07-12,2965,2446,2430,16,519,2334,10,96,6,2298,2298,0,0,0,0,2334,heuristic
E177,2023-0359-IND,Uttarakhand,Uttarakhand,2023-06-26,2023-07-12,6004,4064,3991,73,1940,3874,42,117,31,3686,3686,0,0,0,0,3874,heuristic
E178,2023-0486-IND,Telangana,Telangana,2023-07-27,2023-07-31,717,539,532,7,178,505,1,27,6,495,495,0,0,0,0,505,heuristic
E179,2023-0846-IND,Tamil Nadu,Thoothukkudi,2023-12-18,2023-12-20,3277,2475,2357,118,802,1868,19,489,99,1833,1833,0,0,0,0,1868,heuristic
E180,2024-0399-IND,Assam,Assam,2024-05-01,2024-07-08,2290,1573,1562,11,717,1519,6,43,5,1480,1480,0,0,0,0,1519,heuristic
E181,2024-0399-IND,Meghalaya,Meghalaya,2024-05-01,2024-07-08,86,66,65,1,20,65,0,0,1,47,47,0,0,0,0,65,heuristic
E182,2024-0481-IND,Assam,Assam,2024-07-09,2024-07-15,1171,866,863,3,305,839,2,24,1,827,827,0,0,0,0,839,heuristic
E183,2024-0481-IND,Uttar Pradesh,Uttar Pradesh,2024-07-09,2024-07-15,5506,4035,4010,25,1471,3887,10,123,15,3835,3835,0,0,0,0,3887,heuristic
